state_code,state_name,year,month,intra_ewb,out_ewb,in_ewb,out_value,date,mean_out,mean_in,mean_intra,mean_val,odi,iac,opi,vif,sdpi,net_flow_pct,total_ewb,odi_3m,sdpi_3m,state_out_rank,seasonal_factor
35,Andaman And Nicobar,2018,7,323.0,6965,6965,168.206696002,2018-07-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.6906858222691677,0.6906858222691677,1.0,0.024150279397272077,0.01648202438475338,0.0,14253.0,0.6906858222691677,0.01648202438475338,35.0,0.9640967551799904
35,Andaman And Nicobar,2018,8,285.0,8206,8206,178.424840859,2018-08-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.813749871865153,0.813749871865153,1.0,0.021743217262856447,0.017503926633542152,0.0,16697.0,0.7522178470671603,0.016992975509147766,35.0,1.006254373298035
35,Andaman And Nicobar,2018,9,182.0,7977,7977,226.025469667,2018-09-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.7910410343490526,0.7910410343490526,1.0,0.028334645815093394,0.022102196727353477,0.0,16136.0,0.7651589094944579,0.01869604924854967,35.0,1.1169847474963563
35,Andaman And Nicobar,2018,10,219.0,8239,8239,184.93573323,2018-10-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8170223244329754,0.8170223244329754,1.0,0.022446381020754948,0.018136399193618438,0.0,16697.0,0.8072710768823937,0.019247507518171354,35.0,0.9405202219072704
35,Andaman And Nicobar,2018,11,206.0,7687,7687,183.820504177,2018-11-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.7622831178439473,0.7622831178439473,1.0,0.023913165627292832,0.018014064120827483,0.0,15580.0,0.7901154922086585,0.019417553347266466,36.0,1.043391751681352
35,Andaman And Nicobar,2018,12,189.0,8287,8287,271.162220557,2018-12-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8217822554407169,0.8217822554407169,1.0,0.032721397436587425,0.026459294211668816,0.0,16763.0,0.8003625659058798,0.02086991917537158,35.0,1.100889876614897
35,Andaman And Nicobar,2019,1,217.0,7955,7955,200.26,2019-01-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.7888593993038377,0.7888593993038377,1.0,0.025174104336895032,0.019612982149402138,0.0,16127.0,0.7909749241961673,0.021362113493966148,35.0,1.0233285008191078
35,Andaman And Nicobar,2019,2,174.0,7569,7569,175.81,2019-02-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.7505816207832493,0.7505816207832493,1.0,0.0232276390540362,0.017234842630293682,0.0,15312.0,0.7870744251759346,0.021102372997121546,36.0,1.0390674393595867
35,Andaman And Nicobar,2019,3,242.0,8802,8802,288.82,2019-03-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8728523485446109,0.8728523485446109,1.0,0.03281299704612588,0.028181037272933477,0.0,17846.0,0.8040977895438993,0.02167628735087643,35.0,1.0949824622392177
35,Andaman And Nicobar,2019,4,181.0,8228,8228,202.828646517,2019-04-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.815931506910368,0.815931506910368,1.0,0.024651026557729706,0.01986963971366452,0.0,16637.0,0.8131218254127427,0.021761839872297226,35.0,0.9309348400081242
35,Andaman And Nicobar,2019,5,159.0,8307,8307,241.52788668,2019-05-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.823765560027276,0.823765560027276,1.0,0.029075224109786926,0.02360958083487262,0.0,16773.0,0.8375164718274183,0.023886752607156874,35.0,0.8651882929636937
35,Andaman And Nicobar,2019,6,121.0,6949,6949,160.73268535699998,2019-06-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.6890991785999206,0.6890991785999206,1.0,0.0231303331928335,0.01575754945172013,0.0,14019.0,0.7762654151791882,0.019745590000085758,36.0,0.8641824742090817
35,Andaman And Nicobar,2019,7,180.0,8179,8179,183.107666688,2019-07-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8110724106732984,0.8110724106732984,1.0,0.022387537191343683,0.017957641826731666,0.0,16538.0,0.7746457164334983,0.019108257371108137,35.0,0.9640967551799904
35,Andaman And Nicobar,2019,8,186.0,8721,8721,183.612616554,2019-08-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.864819964969047,0.864819964969047,1.0,0.021054078265565875,0.018018959631720347,0.0,17628.0,0.7883305180807554,0.01724471697005738,35.0,1.006254373298035
35,Andaman And Nicobar,2019,9,162.0,8664,8664,183.377145249,2019-09-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8591675468973539,0.8591675468973539,1.0,0.021165413809903045,0.017994867013947355,0.0,17490.0,0.8450199741798997,0.017990489490799788,35.0,1.1169847474963563
35,Andaman And Nicobar,2019,10,158.0,8340,8340,210.932335661,2019-10-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8270380125950982,0.8270380125950982,1.0,0.0252916469617506,0.020657015891237973,0.0,16838.0,0.8503418414871664,0.018890280845635224,35.0,0.9405202219072704
35,Andaman And Nicobar,2019,11,239.0,9077,9077,217.624420936,2019-11-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.9001227866097969,0.9001227866097969,1.0,0.023975368616943923,0.021326134137041004,0.0,18393.0,0.8621094487007497,0.01999267234740878,35.0,1.043391751681352
35,Andaman And Nicobar,2019,12,187.0,8964,8964,237.841637476,2019-12-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8889171156957387,0.8889171156957387,1.0,0.02653298053056671,0.02327814901772805,0.0,18115.0,0.8720259716335447,0.021753766348669008,35.0,1.100889876614897
35,Andaman And Nicobar,2020,1,286.0,8876,8876,278.829728116,2020-01-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8801905755148791,0.8801905755148791,1.0,0.031413894560162234,0.027224799815766965,0.0,18038.0,0.889743492606805,0.023943027656845337,35.0,1.0233285008191078
35,Andaman And Nicobar,2020,2,248.0,8665,8665,232.599677415,2020-02-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8592667121266818,0.8592667121266818,1.0,0.02684358654529717,0.022761646988677695,0.0,17578.0,0.8761248011124332,0.024421531940724234,36.0,1.0390674393595867
35,Andaman And Nicobar,2020,3,273.0,5868,5868,227.384254925,2020-03-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.5819015656964073,0.5819015656964073,1.0,0.038749873027436946,0.02212270169189139,0.0,12009.0,0.7737862844459894,0.024036382832112013,36.0,1.0949824622392177
35,Andaman And Nicobar,2020,4,116.0,1270,1270,40.187506729,2020-04-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.1259398412464958,0.1259398412464958,1.0,0.03164370608582677,0.003923449389938932,0.0,2656.0,0.522369373023195,0.016269266023502673,36.0,0.9309348400081242
35,Andaman And Nicobar,2020,5,173.0,3048,3048,88.12808713300001,2020-05-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.30225561899158987,0.30225561899158987,1.0,0.028913414413713912,0.008615284985000297,0.0,6269.0,0.33669900864483093,0.011553812022276871,36.0,0.8651882929636937
35,Andaman And Nicobar,2020,6,215.0,6490,6490,154.96364651500002,2020-06-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.6435823383383918,0.6435823383383918,1.0,0.0238772953027735,0.015186413333594922,0.0,13195.0,0.35725926619215914,0.009241715902844717,36.0,0.8641824742090817
35,Andaman And Nicobar,2020,7,269.0,8509,8509,184.803331369,2020-07-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.8437969363515218,0.8437969363515218,1.0,0.021718572261017748,0.018129892066640743,0.0,17287.0,0.5965449645605011,0.013977196795078653,36.0,0.9640967551799904
35,Andaman And Nicobar,2020,8,284.0,4648,4648,133.204780822,2020-08-01,10084.1797752809,10084.1797752809,1575.561797752809,248.92185291741575,0.46091998591630895,0.46091998591630895,1.0,0.02865851566738382,0.013023543740697618,0.0,9580.0,0.6494330868687409,0.015446616380311093,36.0,1.006254373298035
