rfq_id,origin_city,origin_state,destination_city,destination_state,vehicle_type,tsp_partner_name,quote,capacity_mt,is_container,is_twoway,is_oneway,n_pallets,n_wheels,body_ft,is_refer,is_flatbed,is_sxl,is_mxl,is_hq,approx_dist_km,is_city_level_dist,orig_tier,dest_tier,tier_combo,is_interstate,is_same_city,dist_bucket,log_dist,log_capacity,dist_x_capacity,log_dist_x_log_cap,orig_state_norm,dest_state_norm,orig_odi,orig_iac,orig_opi,orig_vif,orig_sdpi,orig_net_flow_pct,orig_state_out_rank,orig_out_ewb,orig_total_ewb,orig_seasonal_factor,orig_odi_3m,orig_sdpi_3m,dest_odi,dest_iac,dest_opi,dest_vif,dest_sdpi,dest_net_flow_pct,dest_state_out_rank,dest_out_ewb,dest_total_ewb,dest_seasonal_factor,dest_odi_3m,dest_sdpi_3m,seasonal_factor,sdpi_x_dist,opi_x_capacity,odi_x_capacity,dest_odi_x_iac,rfq_bid_count,rfq_median,rfq_mean,rfq_std,rfq_min,rfq_max,rfq_spread_pct,rfq_cv,bid_rank,bid_rank_pct,lane_median,lane_count,city_lane_median,city_lane_count,has_city_lane,effective_lane_median,lane_per_km,lane_data_density,tsp_median,tsp_mean,tsp_bid_count,tsp_lane_diversity,tsp_is_large,origin_state_enc,destination_state_enc,tier_combo_enc,month,month_sin,month_cos,pred_log_quote,pred_quote,residual_pct
261,Aurangabad(Pals),Maharashtra,Chandikhol,Odisha,34 MT Open,Ruby Logistics,190400.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.4679270947352,0,2,3,2_3,1,0,3.0,7.1580998470632204,3.5553480614894135,43637.909521220994,25.449536415203887,Maharashtra,Odisha,1.5293806537240244,1.5293806537240244,1.0,0.0449414239954751,0.0672328433103795,0.0,2.0,4547374.0,23321462.0,0.9949569034889298,1.561763614929969,0.0678986324328766,1.4785606430932,1.4785606430932,1.0,0.3007463513117608,0.3887700979192602,0.0,18.0,658771.0,2984743.0,0.9938169430618689,1.493747903944488,0.1690760682141073,0.9949569034889298,86.29119803625791,34.0,51.99894222661683,2.186141575304177,572,76000.0,88209.13199300699,59626.37342255434,10620.0,324000.0,4.123421052631579,0.6759659921297193,537.0,0.9388111888111889,124250.0,70,190400.0,1,0,124250.0,96.80802876099364,4.2626798770413155,84250.0,85594.27611940299,134,19,1,11,27,5,11,-0.5000000000000004,0.8660254037844384,12.13539052941835,186350.6071845453,-2.1267819408900674
238,Jalgaon(Jain),Maharashtra,Goblej,Gujarat,25 MT Open,JET ROADLINES INDIA PVT LTD,62000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.6076058838701,0,3,3,3_3,1,0,2.0,6.566120386996954,3.258096538021482,17740.190147096753,21.39305410110705,Maharashtra,Gujarat,1.5293806537240244,1.5293806537240244,1.0,0.0449414239954751,0.0672328433103795,0.0,2.0,4547374.0,23321462.0,0.9949569034889298,1.561763614929969,0.0678986324328766,1.4993819524521608,1.4993819524521608,1.0,0.0501097658456854,0.0733118271614541,0.0,7.0,2782524.0,13418945.0,0.9729586087085784,1.4925943326986306,0.0726833896004017,0.9949569034889298,47.70893697824376,25.0,38.23451634310061,2.2481462393392535,9,92000.0,97500.0,21772.976369803004,62000.0,137000.0,0.8152173913043478,0.22331257815182567,1.0,0.1111111111111111,41242.0,174,42840.0,3,1,42840.0,60.371393492378836,5.1647859739235145,87000.0,83843.75,16,9,1,11,13,8,11,-0.5000000000000004,0.8660254037844384,10.965704273157014,57854.52728399645,-6.686246316134753
300,Valsad,Gujarat,Ankleshwar,Gujarat,19 MT,DELHIVERY FREIGHT SERVICES PRIVATE LIMITED,22000.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.81057283367855,1,2,2,2_2,0,0,0.0,5.009371648256567,2.995732273553991,2827.4008838398922,15.00673631690855,Gujarat,Gujarat,1.4993819524521608,1.4993819524521608,1.0,0.0501097658456854,0.0733118271614541,0.0,7.0,2782524.0,13418945.0,0.9729586087085784,1.4925943326986306,0.0726833896004017,1.4993819524521608,1.4993819524521608,1.0,0.0501097658456854,0.0733118271614541,0.0,7.0,2782524.0,13418945.0,0.9729586087085784,1.4925943326986306,0.0726833896004017,0.9729586087085784,10.909574995379618,19.0,28.488257096591056,2.2481462393392535,349,53110.0,57970.449856733525,40324.89936923589,1800.0,197450.0,3.6838636791564676,0.6956112893533459,90.0,0.25787965616045844,16000.0,323,16380.0,7,1,16380.0,110.07282404797589,5.780743515792329,63250.0,64666.57894736842,19,17,1,5,13,4,11,-0.5000000000000004,0.8660254037844384,10.000056984614861,22026.72100024015,0.1214590920006892
93,Lucknow,Uttar Pradesh,Balrampur,Uttar Pradesh,21 MT Open,Tezgati Cargo Movers Pvt. Ltd.,24700.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.89035925514762,1,2,3,2_3,0,0,1.0,5.197891097753628,3.091042453358316,3777.6975443581,16.066902051089723,Uttar Pradesh,Uttar Pradesh,1.426761526538347,1.426761526538347,1.0,0.0312083230646932,0.0438461563910053,0.0,3.0,3841794.0,15382551.0,0.9907172990076006,1.5123021129200758,0.0449833586150717,1.426761526538347,1.426761526538347,1.0,0.0312083230646932,0.0438461563910053,0.0,3.0,3841794.0,15382551.0,0.9907172990076006,1.5123021129200758,0.0449833586150717,0.9907172990076006,7.88750082513533,21.0,29.961992057305288,2.0356484536100345,273,27203.04,29972.62498168498,14676.78482825741,6800.0,80600.0,2.712932084061193,0.48967298784226543,116.0,0.4249084249084249,26000.0,783,21000.0,3,1,21000.0,116.73777342461491,6.664409020350408,28900.0,40342.05426356589,129,12,1,20,37,5,11,-0.5000000000000004,0.8660254037844384,10.093216387655383,24177.434721771853,-2.1156488997090963
84,Meerut,Uttar Pradesh,Prathapgarh,Uttar Pradesh,21 MT Open,Tezgati Cargo Movers Pvt. Ltd.,53950.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.887404757321,1,2,3,2_3,0,0,2.0,6.556618406942588,3.091042453358316,14760.63549990374,20.266785846330112,Uttar Pradesh,Uttar Pradesh,1.426761526538347,1.426761526538347,1.0,0.0312083230646932,0.0438461563910053,0.0,3.0,3841794.0,15382551.0,0.9907172990076006,1.5123021129200758,0.0449833586150717,1.426761526538347,1.426761526538347,1.0,0.0312083230646932,0.0438461563910053,0.0,3.0,3841794.0,15382551.0,0.9907172990076006,1.5123021129200758,0.0449833586150717,0.9907172990076006,30.81891107425734,21.0,29.961992057305288,2.0356484536100345,573,72500.0,82742.17584642234,60960.3565502468,7900.0,492800.0,6.6882758620689655,0.7367507069598369,222.0,0.387434554973822,26000.0,783,67475.0,2,0,26000.0,36.9902772820019,6.664409020350408,28900.0,40342.05426356589,129,12,1,20,37,5,11,-0.5000000000000004,0.8660254037844384,10.907987741267563,54609.843519202215,1.223064910476766
261,Aurangabad(Pals),Maharashtra,Samarlkota(Eastgodavari),Andhra Pradesh,24 MT Open,MRC LOGISTICS (I) PVT LTD,140000.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0138142011501,0,2,3,2_3,1,0,2.0,6.665701315336042,3.2188758248682006,18816.331540827603,21.456064819727352,Maharashtra,Andhra Pradesh,1.5293806537240244,1.5293806537240244,1.0,0.0449414239954751,0.0672328433103795,0.0,2.0,4547374.0,23321462.0,0.9949569034889298,1.561763614929969,0.0678986324328766,1.4901392659117456,1.4901392659117456,1.0,0.0336662155070437,0.0493413646884051,0.0,13.0,1394850.0,5824009.0,1.0750423766975663,1.4341502978692464,0.0491609613126325,0.9949569034889298,52.71147792335891,24.0,36.70513568937659,2.220515031811996,572,76000.0,88209.13199300699,59626.37342255434,10620.0,324000.0,4.123421052631579,0.6759659921297193,480.0,0.8391608391608392,100800.0,115,129000.0,2,0,100800.0,128.56916316290608,4.7535901911063645,76275.0,85779.48387096774,155,55,1,11,1,5,11,-0.5000000000000004,0.8660254037844384,11.840455179358463,138752.62804771465,-0.890979965918107
16,Guwahati,Assam,Jatia,Assam,9 MT Open,CTI INFRASTRUCTURES PVT LTD,18000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7860348929477756,1,2,3,2_3,0,0,0.0,1.0246193996681923,2.302585092994046,16.07431403652998,2.359273355668488,Assam,Assam,1.5289106214387638,1.5289106214387638,1.0,0.0289514840095683,0.0436355786056509,0.0,20.0,525064.0,1850425.0,0.9942269351825166,1.4382043739497623,0.0415464064314658,1.5289106214387638,1.5289106214387638,1.0,0.0289514840095683,0.0436355786056509,0.0,20.0,525064.0,1850425.0,0.9942269351825166,1.4382043739497623,0.0415464064314658,0.9942269351825166,0.07793466596365795,9.0,13.760195592948874,2.337567688348267,215,19000.0,22200.59534883721,12840.725244059862,3500.0,94000.0,4.7631578947368425,0.5783955358986539,97.0,0.4511627906976744,24000.0,85,10750.0,2,0,24000.0,13437.587414873518,4.454347296253507,130000.0,117286.82170542635,129,19,1,1,3,5,11,-0.5000000000000004,0.8660254037844384,9.83456464403185,18666.972688029287,3.70540382238493
11,Aurangabad,Maharashtra,Vijayawada,Andhra Pradesh,18 MT Open,S. P. GOLDEN TRANSPORT PVT LTD,81600.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.2215392429868,1,2,2,2_2,1,0,3.0,6.776759570782844,2.9444389791664403,15771.987706373762,19.953755032652243,Maharashtra,Andhra Pradesh,1.5293806537240244,1.5293806537240244,1.0,0.0449414239954751,0.0672328433103795,0.0,2.0,4547374.0,23321462.0,0.9949569034889298,1.561763614929969,0.0678986324328766,1.4901392659117456,1.4901392659117456,1.0,0.0336662155070437,0.0493413646884051,0.0,13.0,1394850.0,5824009.0,1.0750423766975663,1.4341502978692464,0.0491609613126325,0.9949569034889298,58.91086545310327,18.0,27.52885176703244,2.220515031811996,697,75900.0,86400.85796269728,57406.969626490056,7644.0,375000.0,4.84,0.6644259209934577,378.0,0.5423242467718795,100800.0,115,80300.0,2,0,100800.0,115.03939983840884,4.7535901911063645,59000.0,64952.835820895525,335,53,1,11,1,4,11,-0.5000000000000004,0.8660254037844384,11.283600122741223,79505.98216344423,-2.566198329112458
263,Chennai,Tamil Nadu,Vijayawada,Andhra Pradesh,40ft Flat Bed Trailer 25MT,JAYAKUMARI LOGISTICS PRIVATE LIMITED,48300.0,25.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,497.67907475402427,1,1,2,1_2,1,0,2.0,6.2119627520848715,3.258096538021482,12441.976868850606,20.23917433688612,Tamil Nadu,Andhra Pradesh,1.4154241182549463,1.4154241182549463,1.0,0.0437612882768838,0.0606237646489771,0.0,6.0,2869911.0,15031175.0,0.9314851604030374,1.5025099246373976,0.0607371635674117,1.4901392659117456,1.4901392659117456,1.0,0.0336662155070437,0.0493413646884051,0.0,13.0,1394850.0,5824009.0,1.0750423766975663,1.4341502978692464,0.0491609613126325,0.9314851604030374,30.171179098608647,25.0,35.38560295637366,2.220515031811996,170,69300.0,72470.6705882353,29776.98494415139,19800.0,151200.0,1.896103896103896,0.41088325390748226,43.0,0.2529411764705882,24281.0,55,52322.5,2,0,24281.0,48.78846877779778,4.02535169073515,25878.125,36546.8603,100,20,1,18,1,1,11,-0.5000000000000004,0.8660254037844384,10.784669017306598,48273.99565572729,-0.05383922209671019
261,Mysuru,Karnataka,Devarapalem(Nellore),Andhra Pradesh,18 MT Open,BHARAT ROADWAYS,60750.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0687628327858,0,2,3,2_3,1,0,2.0,6.342242472719147,2.9444389791664403,10207.237730990144,18.674345951999204,Karnataka,Andhra Pradesh,1.509933740718762,1.509933740718762,1.0,0.0359138598076297,0.053276492257564,0.0,5.0,2957422.0,15263334.0,0.9797475597033368,1.5341355238258207,0.0553369745806534,1.4901392659117456,1.4901392659117456,1.0,0.0336662155070437,0.0493413646884051,0.0,13.0,1394850.0,5824009.0,1.0750423766975663,1.4341502978692464,0.0491609613126325,0.9797475597033368,30.211434552567304,18.0,27.178807332937716,2.220515031811996,572,76000.0,88209.13199300699,59626.37342255434,10620.0,324000.0,4.123421052631579,0.6759659921297193,226.0,0.3951048951048951,35840.0,136,60075.0,2,0,35840.0,63.20221170526423,4.919980925828125,81000.0,108024.20260223048,269,56,1,8,1,5,11,-0.5000000000000004,0.8660254037844384,11.02842452741311,61599.45447979287,1.3982789790829109
