feature,importance
city_lane_median,3324
tsp_median,2110
tsp_vs_lane,1936
odi_x_capacity,1793
city_lane_count,1640
tsp_mean,1556
tsp_rate_per_km,1377
capacity_mt,1163
tsp_specialization,1106
tsp_bid_count,1098
effective_lane_median,1016
lane_per_km,815
tsp_lane_diversity,808
log_dist_x_log_cap,696
dist_x_capacity,665
rfq_bid_count,645
effective_rate_per_km,623
body_ft,572
rfq_median,507
lane_median,455
rfq_cv,438
is_twoway,422
approx_dist_km,400
rfq_std,394
rfq_spread_pct,386
lane_count,363
sdpi_x_dist,308
dest_vif,285
log_capacity,274
tier_combo_enc,259
dest_state_le,242
dest_state_out_rank,223
n_pallets,197
dest_odi,191
dest_odi_3m,160
ewb_seasonal_factor,145
orig_vif,142
opi_x_capacity,141
is_oneway,132
orig_state_le,128
orig_odi_3m,118
dest_tier,114
orig_odi,107
has_city_lane,105
dest_sdpi,101
orig_state_out_rank,95
log_dist,88
tier_competition_idx,87
dest_total_ewb,85
is_mxl,81
is_sxl,78
combined_seasonal,70
orig_sdpi,68
is_refer,63
orig_tier,59
is_same_city,57
lane_data_density,57
dest_sdpi_3m,48
dest_out_ewb,47
orig_total_ewb,46
dest_iac,41
dist_bucket,41
orig_sdpi_3m,31
orig_iac,30
is_container,27
orig_out_ewb,20
dest_odi_x_iac,12
tsp_is_large,6
festival_pressure,5
is_flatbed,4
is_interstate,4
month_cos,0
month_sin,0
